Time [s],Channel 0
12.109889300,0
12.109906000,1
12.109914600,0
12.109922500,1
12.109942600,0
12.109951700,1
12.109969000,0
12.109985700,1
12.109994400,0
12.110002700,1
12.110011400,0
12.110019300,1
12.110039400,0
12.110048500,1
12.110074300,0
12.110115900,1
12.110135900,0
12.110145000,1
12.110153700,0
12.110170400,1
12.110204900,0
12.110212800,1
12.110232900,0
12.110284000,1
12.110292700,0
12.110309000,1
12.110329200,0
12.110355000,1
12.110363600,0
12.110372000,1
12.110425900,0
12.110443400,1
12.110460700,0
12.110485800,1
12.110522600,0
12.110548500,1
12.110557300,0
12.110565500,1
12.110574200,0
12.110598900,1
12.110619000,0
12.110628000,1
12.110636800,0
12.110645000,1
12.110662400,0
12.110687400,1
12.110715700,0
12.110741600,1
12.110767400,0
12.110775700,1
12.110784400,0
12.110792300,1
12.110812300,0
12.110829800,1
12.110838500,0
12.110863600,1
12.110880900,0
12.110888800,1
12.110908900,0
12.110934800,1
12.110952000,0
12.110985100,1
12.111005200,0
12.111014300,1
12.111023000,0
12.111031300,1
12.111057100,0
12.111073800,1
12.111102100,0
12.111119600,1
12.111128200,0
12.111136600,1
12.111199100,0
12.111208200,1
12.111234000,0
12.111242300,1
12.111259600,0
12.111267900,1
12.111296200,0
12.111330400,1
12.111339100,0
12.111355800,1
12.111392600,0
12.111401700,1
12.111410400,0
12.111427100,1
12.111444400,0
12.111452700,1
12.111461300,0
12.111469200,1
12.111489300,0
12.111498400,1
12.111541400,0
12.111566100,1
12.111586300,0
12.111595300,1
12.111604000,0
12.111620700,1
12.111629400,0
12.111637600,1
12.111646300,0
12.111654600,1
12.111682900,0
12.111700400,1
12.111717600,0
12.111725900,1
12.111751700,0
12.111759600,1
12.111779700,0
12.111788800,1
12.111806000,0
12.111814400,1
12.111823000,0
12.111856200,1
12.111876200,0
12.111910600,1
12.112533400,0
12.112541900,1
12.112550600,0
12.112559100,1
12.112585000,0
12.112602100,1
12.142848900,0
12.142857900,1
12.142866500,0
12.142874900,1
12.142892200,0
12.142908900,1
12.142917500,0
12.142925400,1
12.142945500,0
12.142954600,1
12.142971900,0
12.142988600,1
12.142997300,0
12.143005600,1
12.143014300,0
12.143022200,1
12.143042300,0
12.143051300,1
12.143077300,0
12.143118800,1
12.143138800,0
12.143147900,1
12.143156600,0
12.143173300,1
12.143182100,0
12.143190300,1
12.143207600,0
12.143215500,1
12.143235600,0
12.143286800,1
12.143295400,0
12.143311700,1
12.143331800,0
12.143374600,1
12.143391800,0
12.143408200,1
12.143428200,0
12.143445700,1
12.143480200,0
12.143504900,1
12.143525000,0
12.143542500,1
12.143559700,0
12.143593300,1
12.143621600,0
12.143647500,1
12.143673400,0
12.143690100,1
12.143718400,0
12.143761100,1
12.143769700,0
12.143794500,1
12.143814600,0
12.143823600,1
12.143832300,0
12.143865900,1
12.143883100,0
12.143891000,1
12.143911100,0
12.143920200,1
12.143946100,0
12.143954400,1
12.143980300,0
12.143988100,1
12.144008300,0
12.144025700,1
12.144034500,0
12.144068000,1
12.144076600,0
12.144084500,1
12.144104600,0
12.144130500,1
12.144139200,0
12.144147500,1
12.144156200,0
12.144164500,1
12.144201400,0
12.144218900,1
12.144244700,0
12.144253000,1
12.144261700,0
12.144270000,1
12.144298300,0
12.144307400,1
12.144341800,0
12.144350100,1
12.144358800,0
12.144367100,1
12.144395400,0
12.144421300,1
12.144429900,0
12.144438300,1
12.144446900,0
12.144455300,1
12.144492100,0
12.144534800,1
12.144543600,0
12.144551800,1
12.144588700,0
12.144606200,1
12.144614800,0
12.144623200,1
12.144631800,0
12.144640200,1
12.144657400,0
12.144665300,1
12.144685500,0
12.144702900,1
12.144728800,0
12.144737100,1
12.144754300,0
12.144762200,1
12.144782300,0
12.144791400,1
12.144808700,0
12.144825400,1
12.144834100,0
12.144858800,1
12.144878900,0
12.144888000,1
12.144905200,0
12.144913600,1
12.144922200,0
12.144930600,1
12.144947800,0
12.144955700,1
12.145540100,0
12.145557200,1
12.145583000,0
12.145617300,1
12.174849500,0
12.174858500,1
12.174867200,0
12.174875500,1
12.174892900,0
12.174909500,1
12.174918200,0
12.174926100,1
12.174946200,0
12.174955300,1
12.174972500,0
12.174989300,1
12.174997900,0
12.175006300,1
12.175014900,0
12.175022900,1
12.175042900,0
12.175052000,1
12.175077900,0
12.175119400,1
12.175139600,0
12.175148600,1
12.175157300,0
12.175174000,1
12.175191300,0
12.175199600,1
12.175208300,0
12.175216200,1
12.175236300,0
12.175287400,1
12.175296100,0
12.175312400,1
12.175332500,0
12.175341600,1
12.175350300,0
12.175358600,1
12.175375800,0
12.175384200,1
12.175392800,0
12.175409200,1
12.175429200,0
12.175438300,1
12.175481300,0
12.175489700,1
12.175526500,0
12.175535600,1
12.175570100,0
12.175578300,1
12.175623700,0
12.175658100,1
12.175692500,0
12.175700400,1
12.175720500,0
12.175763200,1
12.175771900,0
12.175780200,1
12.175817100,0
12.175834500,1
12.175843300,0
12.175868400,1
12.175913800,0
12.175931300,1
12.175940000,0
12.175948300,1
12.175982700,0
12.175990600,1
12.176010700,0
12.176019800,1
12.176028500,0
12.176045200,1
12.176053900,0
12.176079000,1
12.176107400,0
12.176124800,1
12.176167900,0
12.176176100,1
12.176204400,0
12.176213400,1
12.176222200,0
12.176230400,1
12.176247700,0
12.176256000,1
12.176273300,0
12.176281200,1
12.176301300,0
12.176318800,1
12.176327400,0
12.176344200,1
12.176361400,0
12.176369800,1
12.176398100,0
12.176407100,1
12.176424300,0
12.176432700,1
12.176449900,0
12.176458300,1
12.176466900,0
12.176474800,1
12.176494900,0
12.176512400,1
12.176529700,0
12.176571200,1
12.176591300,0
12.176617200,1
12.176626000,0
12.176634200,1
12.176643000,0
12.176651200,1
12.176660000,0
12.176667800,1
12.176688000,0
12.176697000,1
12.176722800,0
12.176739600,1
12.176756800,0
12.176764700,1
12.176784900,0
12.176810700,1
12.176819400,0
12.176827700,1
12.176845100,0
12.176853300,1
12.176881600,0
12.176899100,1
12.176916400,0
12.176933100,1
12.176941700,0
12.176958100,1
12.177541200,0
12.177549700,1
12.177566900,0
12.177601200,1
12.177609900,0
12.177618400,1
12.207846900,0
12.207856000,1
12.207864800,0
12.207873000,1
12.207890300,0
12.207907000,1
12.207915700,0
12.207923600,1
12.207943700,0
12.207952800,1
12.207970000,0
12.207986700,1
12.207995500,0
12.208003700,1
12.208012500,0
12.208020300,1
12.208040500,0
12.208049500,1
12.208075300,0
12.208116900,1
12.208137000,0
12.208146100,1
12.208154700,0
12.208171500,1
12.208180200,0
12.208196900,1
12.208205600,0
12.208213500,1
12.208233600,0
12.208284700,1
12.208293400,0
12.208309700,1
12.208329800,0
12.208355700,1
12.208372900,0
12.208381200,1
12.208390000,0
12.208406200,1
12.208426300,0
12.208452200,1
12.208486600,0
12.208502900,1
12.208523000,0
12.208548900,1
12.208557600,0
12.208582700,1
12.208619600,0
12.208637000,1
12.208688600,0
12.208696500,1
12.208716500,0
12.208734000,1
12.208768500,0
12.208776700,1
12.208813600,0
12.208847900,1
12.208882300,0
12.208890200,1
12.208910200,0
12.208919300,1
12.208928100,0
12.208953100,1
12.208961800,0
12.208986500,1
12.209006600,0
12.209049300,1
12.209058100,0
12.209066300,1
12.209103200,0
12.209137400,1
12.209146100,0
12.209154400,1
12.209163200,0
12.209179400,1
12.209199500,0
12.209217000,1
12.209225600,0
12.209259200,1
12.209296000,0
12.209338700,1
12.209356000,0
12.209372300,1
12.209392300,0
12.209426700,1
12.209443900,0
12.209452200,1
12.209461000,0
12.209468800,1
12.209488900,0
12.209514800,1
12.209523400,0
12.209548600,1
12.209557200,0
12.209565100,1
12.209585300,0
12.209594300,1
12.209603000,0
12.209611300,1
12.209628500,0
12.209645300,1
12.209682100,0
12.209716400,1
12.209725000,0
12.209741800,1
12.209750400,0
12.209758400,1
12.209778400,0
12.209812700,1
12.209875400,0
12.209884400,1
12.209893100,0
12.209909800,1
12.209927000,0
12.209935300,1
12.209944100,0
12.209951900,1
12.210539400,0
12.210565100,1
12.210599600,0
12.210616700,1
12.239847900,0
12.239857000,1
12.239865600,0
12.239874000,1
12.239891200,0
12.239907900,1
12.239916700,0
12.239924500,1
12.239944700,0
12.239953700,1
12.239970900,0
12.239987700,1
12.239996400,0
12.240004700,1
12.240013400,0
12.240021300,1
12.240041400,0
12.240050400,1
12.240076300,0
12.240117900,1
12.240137900,0
12.240147000,1
12.240155800,0
12.240172400,1
12.240198300,0
12.240206600,1
12.240234800,0
12.240286000,1
12.240294700,0
12.240311000,1
12.240331100,0
12.240348600,1
12.240357300,0
12.240365600,1
12.240374200,0
12.240382600,1
12.240428000,0
12.240445500,1
12.240462700,0
12.240487900,1
12.240524700,0
12.240533800,1
12.240542600,0
12.240559200,1
12.240585100,0
12.240601400,1
12.240621500,0
12.240630600,1
12.240639200,0
12.240647600,1
12.240664800,0
12.240698000,1
12.240718100,0
12.240727100,1
12.240761500,0
12.240769900,1
12.240787100,0
12.240795000,1
12.240815100,0
12.240824200,1
12.240832900,0
12.240841200,1
12.240912400,0
12.240921500,1
12.240947400,0
12.240980900,1
12.241009200,0
12.241043400,1
12.241060700,0
12.241085400,1
12.241105600,0
12.241114600,1
12.241131900,0
12.241140200,1
12.241166100,0
12.241174300,1
12.241202600,0
12.241220100,1
12.241237300,0
12.241254100,1
12.241271300,0
12.241279300,1
12.241299300,0
12.241308400,1
12.241334200,0
12.241342600,1
12.241359800,0
12.241368100,1
12.241396400,0
12.241405400,1
12.241422700,0
12.241456300,1
12.241465000,0
12.241472800,1
12.241493000,0
12.241518800,1
12.241527500,0
12.241552700,1
12.241589500,0
12.241607000,1
12.241615700,0
12.241624000,1
12.241632700,0
12.241641000,1
12.241658200,0
12.241666100,1
12.241686200,0
12.241695300,1
12.241704100,0
12.241712300,1
12.241738100,0
12.241762900,1
12.241783000,0
12.241817300,1
12.241834600,0
12.241842900,1
12.241879800,0
12.241905600,1
12.241931500,0
12.241939800,1
12.242540700,0
12.242549200,1
12.242557900,0
12.242575000,1
12.242600900,0
12.242609400,1
12.274841300,0
12.274850400,1
12.274859000,0
12.274867400,1
12.274884600,0
12.274901400,1
12.274910000,0
12.274918000,1
12.274938000,0
12.274947100,1
12.274964400,0
12.274981100,1
12.274989900,0
12.274998100,1
12.275006900,0
12.275014700,1
12.275034800,0
12.275043900,1
12.275069700,0
12.275111300,1
12.275131400,0
12.275140400,1
12.275149100,0
12.275165800,1
12.275174600,0
12.275182800,1
12.275191600,0
12.275199800,1
12.275228100,0
12.275279300,1
12.275287900,0
12.275304200,1
12.275324300,0
12.275358700,1
12.275367300,0
12.275384100,1
12.275421000,0
12.275438400,1
12.275455700,0
12.275464000,1
12.275481200,0
12.275497600,1
12.275517600,0
12.275552000,1
12.275577900,0
12.275594100,1
12.275614200,0
12.275623300,1
12.275632000,0
12.275640300,1
12.275666100,0
12.275682900,1
12.275711100,0
12.275720200,1
12.275754600,0
12.275763000,1
12.275780300,0
12.275788100,1
12.275808300,0
12.275817300,1
12.275843100,0
12.275851500,1
12.275868800,0
12.275885000,1
12.275905100,0
12.275922600,1
12.275931300,0
12.275939600,1
12.275965500,0
12.275981800,1
12.276001900,0
12.276010900,1
12.276019700,0
12.276027900,1
12.276045200,0
12.276070400,1
12.276098700,0
12.276107700,1
12.276133500,0
12.276141900,1
12.276150500,0
12.276158900,1
12.276195800,0
12.276204800,1
12.276230600,0
12.276255800,1
12.276264400,0
12.276272300,1
12.276292400,0
12.276326800,1
12.276335400,0
12.276368600,1
12.276388700,0
12.276397700,1
12.276406500,0
12.276423200,1
12.276431800,0
12.276440200,1
12.276448800,0
12.276457200,1
12.276485500,0
12.276502900,1
12.276537400,0
12.276545700,1
12.276582600,0
12.276591600,1
12.276608900,0
12.276617100,1
12.276625900,0
12.276634100,1
12.276642900,0
12.276659100,1
12.276679200,0
12.276688300,1
12.276697000,0
12.276713700,1
12.276722400,0
12.276755500,1
12.276775600,0
12.276784700,1
12.276802000,0
12.276810300,1
12.276819000,0
12.276852100,1
12.276872200,0
12.276881300,1
12.276898500,0
12.276906900,1
12.276924200,0
12.276948900,1
12.277533700,0
12.277550800,1
12.277602400,0
12.277610900,1
12.306848000,0
12.306857100,1
12.306865700,0
12.306874100,1
12.306891300,0
12.306908100,1
12.306916700,0
12.306924700,1
12.306944700,0
12.306953800,1
12.306971100,0
12.306987800,1
12.306996500,0
12.307004800,1
12.307013500,0
12.307021400,1
12.307041500,0
12.307050600,1
12.307076400,0
12.307118000,1
12.307138100,0
12.307147100,1
12.307155900,0
12.307172600,1
12.307189900,0
12.307206600,1
12.307234800,0
12.307286000,1
12.307294600,0
12.307311000,1
12.307331000,0
12.307373700,1
12.307391000,0
12.307407300,1
12.307427500,0
12.307444900,1
12.307479300,0
12.307504000,1
12.307524100,0
12.307541600,1
12.307558800,0
12.307592400,1
12.307620600,0
12.307646500,1
12.307672300,0
12.307689000,1
12.307717300,0
12.307760000,1
12.307768700,0
12.307793400,1
12.307813500,0
12.307822500,1
12.307831200,0
12.307864800,1
12.307882000,0
12.307889900,1
12.307910100,0
12.307919100,1
12.307944900,0
12.307953200,1
12.307979100,0
12.307986900,1
12.308007000,0
12.308016100,1
12.308024700,0
12.308033100,1
12.308076000,0
12.308083900,1
12.308104000,0
12.308113100,1
12.308130300,0
12.308138700,1
12.308147300,0
12.308180500,1
12.308200500,0
12.308209600,1
12.308218400,0
12.308226600,1
12.308261000,0
12.308277300,1
12.308297400,0
12.308331700,1
12.308340400,0
12.308357100,1
12.308365800,0
12.308373700,1
12.308393700,0
12.308402800,1
12.308411600,0
12.308428200,1
12.308437000,0
12.308453600,1
12.308490400,0
12.308550000,1
12.308558600,0
12.308566500,1
12.308586700,0
12.308604100,1
12.308621300,0
12.308654900,1
12.308683100,0
12.308692200,1
12.308709500,0
12.308717800,1
12.308752200,0
12.308760100,1
12.308780200,0
12.308797600,1
12.308823500,0
12.308831800,1
12.308849000,0
12.308856900,1
12.308877100,0
12.308894500,1
12.308911700,0
12.308920100,1
12.308928700,0
12.308937100,1
12.308945800,0
12.308953600,1
12.309534900,0
12.309543400,1
12.309560700,0
12.309577800,1
12.309595100,0
12.309612100,1
12.340844300,0
12.340853300,1
12.340862000,0
12.340870300,1
12.340887600,0
12.340904300,1
12.340913000,0
12.340920900,1
12.340941000,0
12.340950100,1
12.340967300,0
12.340984100,1
12.340992700,0
12.341001100,1
12.341009700,0
12.341017700,1
12.341037700,0
12.341046800,1
12.341072700,0
12.341114200,1
12.341134400,0
12.341143400,1
12.341152100,0
12.341168800,1
12.341177600,0
12.341202600,1
12.341230900,0
12.341282100,1
12.341290700,0
12.341307100,1
12.341327100,0
12.341336200,1
12.341344900,0
12.341353200,1
12.341424500,0
12.341441900,1
12.341467800,0
12.341484500,1
