Time [s],Channel 0,Channel 1
101.200590300,1,0
101.200802900,0,0
101.201117200,1,0
101.201222400,0,0
101.201746200,1,0
101.201959100,0,0
101.202168300,1,0
101.202273100,0,0
101.202378000,1,0
101.202483200,0,0
101.202797600,1,0
101.203115000,0,0
101.204058500,1,0
101.204273100,0,0
101.204587300,1,0
101.204692600,0,0
101.205216600,1,0
101.205431600,0,0
101.205745600,1,0
101.205955400,0,0
101.206060300,1,0
101.206270200,0,0
101.206374600,1,0
101.206730400,0,0
101.206838200,1,0
101.207876900,0,0
101.207983100,1,0
101.209021800,0,0
101.209128700,1,0
101.209230800,0,0
101.209960600,1,0
101.210167400,0,0
101.210378100,1,0
101.210583800,0,0
101.211105700,1,0
101.211312300,0,0
101.212251100,1,0
101.212458500,0,0
101.212564600,1,0
101.212770800,0,0
101.213396700,1,0
101.213603600,0,0
101.213710200,1,0
101.213812300,0,0
101.214230300,1,0
101.214332100,0,0
101.214542100,1,0
101.214749200,0,0
101.214855600,1,0
101.214957800,0,0
101.215687500,1,0
101.215894700,0,0
101.216313300,1,0
101.216415100,0,0
101.216833000,1,0
101.217039700,0,0
101.217146100,1,0
101.217352200,0,0
101.217458300,1,0
101.217560100,0,0
101.217770200,1,0
101.223059000,0,0
101.568328000,1,0
101.573329900,0,0
101.573434700,1,0
101.574485500,0,0
101.574590300,1,0
101.575641700,0,0
101.575746000,1,0
101.575850800,0,0
101.576585000,1,0
101.576797700,0,0
101.577111900,1,0
101.577217200,0,0
101.577741000,1,0
101.577953900,0,0
101.578163300,1,0
101.578268100,0,0
101.578373000,1,0
101.578478400,0,0
101.578792800,1,0
101.579110100,0,0
101.580053400,1,0
101.580268100,0,0
101.580582500,1,0
101.580687800,0,0
101.581211600,1,0
101.581426500,0,0
101.581740300,1,0
101.581950100,0,0
101.582055000,1,0
101.582265000,0,0
101.582369300,1,0
101.582724400,0,0
101.582832000,1,0
101.583870800,0,0
101.583977200,1,0
101.585015900,0,0
101.585122200,1,0
101.585224300,0,0
101.585954100,1,0
101.586160900,0,0
101.586371600,1,0
101.586577400,0,0
101.587099200,1,0
101.587306000,0,0
101.588244200,1,0
101.588451700,0,0
101.588557900,1,0
101.588764000,0,0
101.589389900,1,0
101.589597000,0,0
101.589703400,1,0
101.589805600,0,0
101.590223600,1,0
101.590325400,0,0
101.590535400,1,0
101.590742600,0,0
101.590849000,1,0
101.590951100,0,0
101.591680900,1,0
101.591888000,0,0
101.592306800,1,0
101.592408600,0,0
101.592826600,1,0
101.593033100,0,0
101.593140000,1,0
101.593346300,0,0
101.593452400,1,0
101.593554200,0,0
101.593764300,1,0
101.599053100,0,0
101.885323000,1,0
101.890325100,0,0
101.890429900,1,0
101.891480700,0,0
101.891584500,1,0
101.892635800,0,0
101.892740200,1,0
101.892844900,0,0
101.893578700,1,0
101.893791400,0,0
101.894105700,1,0
101.894211000,0,0
101.894735100,1,0
101.894948000,0,0
101.895157300,1,0
101.895262000,0,0
101.895366900,1,0
101.895472100,0,0
101.895786500,1,0
101.896103800,0,0
101.897047100,1,0
101.897261700,0,0
101.897576200,1,0
101.897681500,0,0
101.898205600,1,0
101.898420600,0,0
101.898735000,1,0
101.898945100,0,0
