Time [s],Value,Parity Error,Framing Error
-4.716497700000000,0x6C,,
-4.715201100000000,0xFF,,
-4.714054600000000,0xFF,,
-4.712909700000000,0x01,,
-4.711764700000000,0x06,,
-4.710619800000000,0x00,,
-4.709474100000000,0x03,,
-4.708329000000000,0x21,,
-4.707183700000000,0x01,,
-4.706038200000000,0x08,,
-4.704893200000000,0xCB,,
-4.698874900000000,0x00,,Error
-4.364598100000000,0xFF,,
-4.363442100000000,0xFF,,
-4.362286900000000,0x01,,
-4.361131500000000,0x04,,
-4.359975300000000,0x8A,,
-4.358818500000000,0x00,,
-4.357660400000000,0x04,,
-4.356502200000000,0x6C,,
-4.355205200000000,0xFF,,
-4.354058700000000,0xFF,,
-4.352913800000000,0x01,,
-4.351768700000000,0x06,,
-4.350623800000000,0x00,,
-4.349478100000000,0x03,,
-4.348333000000000,0x21,,
-4.347187600000000,0x01,,
-4.346042000000000,0x08,,
-4.344897100000000,0xCB,,
-4.338878600000000,0x00,,Error
-3.993600900000000,0xFF,,
-3.992444800000000,0xFF,,
-3.991289800000000,0x01,,
-3.990134200000000,0x04,,
-3.988978000000000,0x8A,,
-3.987821200000000,0x00,,
-3.986662700000000,0x04,,
-3.985504500000000,0x6C,,
-3.984208000000000,0xFF,,
-3.983061500000000,0xFF,,
-3.981916600000000,0x01,,
-3.980771500000000,0x06,,
-3.979626600000000,0x00,,
-3.978480900000000,0x03,,
-3.977335800000000,0x21,,
-3.976190300000000,0x01,,
-3.975044700000000,0x08,,
-3.973899800000000,0xCB,,
-3.967882000000000,0x00,,Error
-3.676597500000000,0xFF,,
-3.675441800000000,0xFF,,
-3.674286700000000,0x01,,
-3.673131100000000,0x04,,
-3.671975100000000,0x8A,,
-3.670819300000000,0x00,,
-3.669661600000000,0x04,,
-3.668503400000000,0x6C,,
-3.667213200000000,0xFF,,
-3.666066700000000,0xFF,,
-3.664921800000000,0x01,,
-3.663776800000000,0x06,,
-3.662631900000000,0x00,,
-3.661486200000000,0x03,,
-3.660341200000000,0x21,,
-3.659195700000000,0x01,,
-3.658050200000000,0x08,,
-3.656905200000000,0xCB,,
-3.650885300000000,0x00,,Error
-3.352605600000000,0xFF,,
-3.351449800000000,0xFF,,
-3.350294600000000,0x01,,
-3.349138600000000,0x04,,
-3.347981500000000,0x8A,,
-3.346825100000000,0x00,,
-3.345666000000000,0x04,,
-3.344506500000000,0x6C,,
-3.343213500000000,0xFF,,
-3.342067000000000,0xFF,,
-3.340922100000000,0x01,,
-3.339777100000000,0x06,,
-3.338632200000000,0x00,,
-3.337486500000000,0x03,,
-3.336341400000000,0x21,,
-3.335196000000000,0x01,,
-3.334050300000000,0x08,,
-3.332905300000000,0xCB,,
-3.326886700000000,0x00,,Error
-2.965610500000000,0xFF,,
-2.964455400000000,0xFF,,
